,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
0,18763512,BarBerry,1,Pune,"121/122, Rambaug Colony, Next lane of MIT COLLEGE, Opposite Kheliya Shop, Paud road, Kothrud, Pune",Kothrud,"Kothrud, Pune",0,0,"North Indian, Italian, Finger Food",1200,Rs.,0,0,0,0,3,4.7,3F7E00,Excellent,680
1,18528478,La Gustosa,1,Pune,"Survey 1/3 4, Behind Karve Putla, Shivaji Putla Road, Beside DNS Bank, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81468143,18.50209506,Italian,1200,Rs.,0,0,0,0,3,4.5,3F7E00,Excellent,1484
2,12552,Chandra Cafe,1,Pune,"Paud Road, Near Krishna Hospital, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81146915,18.50916414,"Chinese, Fast Food, North Indian, Rolls",450,Rs.,0,1,0,0,1,3.9,9ACD32,Good,1054
3,6507794,Wood Fire Grill,1,Pune,"Plot 108, Rambaug Colony, Off MIT Road, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81478302,18.51210977,"Healthy Food, Continental, Seafood, North Indian, Chinese, Salad, BBQ, Kebab",1000,Rs.,0,1,0,0,3,3.8,9ACD32,Good,1445
4,18397717,24foods.in,1,Pune,"Kothrud, Pune",Kothrud,"Kothrud, Pune",73.80377792,18.50729246,"Fast Food, Burger",300,Rs.,0,1,0,0,1,4,5BA829,Very Good,887
5,18465886,Adda,1,Pune,"4th Floor, Ravat Furniture, Paud Road, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81863702,18.51081929,"Bar Food, Finger Food, Street Food, Kebab, North Indian, Continental, Asian, Seafood",1500,Rs.,0,1,0,0,3,4.2,5BA829,Very Good,759
6,18552811,Punjab Canteen,1,Pune,"E1, Kumar Parisar, Near Gandhi Bhavan, Near Mahatma Society, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.80222291,18.49631534,North Indian,700,Rs.,0,1,0,0,2,4.1,5BA829,Very Good,748
7,11321,Pruthvi Vegetarianism,1,Pune,"Nyati Elegance, Happy Colony, Lane 4, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81345935,18.4945459,"North Indian, Chinese, Fast Food, Juices",500,Rs.,0,0,0,0,2,4,5BA829,Very Good,779
8,18532162,Paddy's Cafe,1,Pune,"128/2, Mayur Colony, Karve Road, Behind Jog School, near club Solaris ,Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81969281,18.50606808,"Cafe, Desserts, Italian, Bakery",950,Rs.,1,1,0,0,2,4.3,5BA829,Very Good,931
9,18516536,Indian N Spice,1,Pune,"Beside DSK, Dream City, Loni Kalbhor, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",73.99805434,18.4921828,"Continental, North Indian, Chinese, Fast Food",600,Rs.,0,0,0,0,2,3.6,9ACD32,Good,60
10,13619,Multi Spice,1,Pune,"Manali Resort, Next to Indian Oil Petrol Pump, Loni Kalbhor, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",73.99902865,18.49275386,"Fast Food, North Indian, Chinese",600,Rs.,0,0,0,0,2,3.7,9ACD32,Good,58
11,18660383,Grand 11,1,Pune,"Pune Solapur Highway, Lonikalbhor, Wakvasti, Near Toll Plaza, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",74.00414329,18.49113319,"Thai, Chinese, Maharashtrian, North Indian, Seafood",700,Rs.,0,0,0,0,2,3.6,9ACD32,Good,32
12,11277,Sanskruti,1,Pune,"Opposite Indian Oil Corporation, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",74.00929548,18.49103876,"Rajasthani, Gujarati",700,Rs.,0,0,0,0,2,2.6,FFBA00,Average,61
13,13621,Jay Shree Executive,1,Pune,"34 A, Gate 913, Near Aryan Toll Plaza, Loni Kalbhor, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",73.99273384,18.49279679,"North Indian, Chinese, Italian, Continental, Thai",750,Rs.,0,0,0,0,2,3.4,CDD614,Average,31
14,13665,Milestone 09,1,Pune,"Near Manali Resort, Behind Kalbhor Lawns,  Loni-Kalbhor, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",74.00014848,18.49474876,"North Indian, Chinese, Fast Food",650,Rs.,0,0,0,0,2,3.4,CDD614,Average,18
15,6507594,Blue Berri,1,Pune,"34, Near Draksha Sanshodhan Kendra, Manjari Farm, Phursungi Phata, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",73.98302224,18.49343844,"North Indian, Chinese, Maharashtrian",600,Rs.,0,0,0,0,2,3.1,CDD614,Average,10
16,18786327,Shree Masala,1,Pune,"Pune - Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",0,0,Maharashtrian,500,Rs.,0,0,0,0,2,0,CBCBC8,Not rated,0
17,13623,Hira Garden,1,Pune,"Kawadi Pat Toll Plaza, Pune-Solapur Road, Pune",Pune-Solapur Road,"Pune-Solapur Road, Pune",73.99366088,18.49346165,"North Indian, Chinese",500,Rs.,0,0,0,0,2,3.1,CDD614,Average,4
18,18597704,Masakha - Seafood Resto & Bar,1,Pune,"Vitthal Kamat Chowk, Next to Deccan Pavillion, Near Navale Bridge, Sinhagad Road, Narhe, Pune",Narhe,"Narhe, Pune",73.82477123,18.45966527,"North Indian, Seafood, Chinese, Asian, Mughlai",1000,Rs.,0,1,0,0,3,4.3,5BA829,Very Good,425
19,12934,Domino's Pizza,1,Pune,"Shop 7, Dhanlaxmi Society, Opposite Jagtap Hospital, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.82329,18.47755,"Pizza, Fast Food",700,Rs.,0,0,0,0,2,3.6,9ACD32,Good,639
20,6503605,Jassi Da Dhaba,1,Pune,"Jadhav Nagar, Wadgaon Budruk, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.83002803,18.47020971,"North Indian, Chinese",500,Rs.,0,1,0,0,2,2.3,FF7800,Poor,490
21,18401597,The Green Roof,1,Pune,"Parinay Complex, Mainikbaug, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.82128,18.47282528,"Chinese, North Indian, Italian",800,Rs.,0,1,0,0,2,4,5BA829,Very Good,489
22,6504540,Shorba Family Restaurant,1,Pune,"35-39/1, 2A, Amrut Ganga, Goel Ganga, Opposite Indian Hume Pipe Factory, Manikbaug, DP Road, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.82379759,18.47041068,"North Indian, Chinese, Asian, Continental",1200,Rs.,0,1,0,0,3,3.7,9ACD32,Good,483
23,18315310,Annie's Kitchen,1,Pune,"Shop 38A, Ganga Bhagyoday, Near ICICI Bank, Manik Baug, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.82227343,18.47025772,"North Indian, Chinese, Mughlai",750,Rs.,0,1,0,0,2,3.6,9ACD32,Good,469
24,11626,Brahma Garden,1,Pune,"Vishal Height, Manikbaug, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.82200185,18.47390425,"South Indian, North Indian, Street Food, Chinese",500,Rs.,0,0,0,0,2,3.6,9ACD32,Good,388
25,18465897,Bedi's Naan House,1,Pune,"Opposite MBS Sinhgad College, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.83503839,18.46526338,"North Indian, Street Food",400,Rs.,0,1,0,0,1,3.1,CDD614,Average,474
26,18502353,Fun N Food,1,Pune,"Shop 3, Sada Shivam Heights, Near Sinhgad Cricket Ground, Wadgaon Budruk, Sinhgad Road, Pune",Sinhgad Road,"Sinhgad Road, Pune",73.83178689,18.46940769,North Indian,400,Rs.,0,1,0,0,1,3,CDD614,Average,398
27,18569092,Barometer,1,Pune,"Shop 2, Chintamani Pride, City Pride Road, Paschimanagri, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81919559,18.49873275,"Continental, Asian, Italian, Indian",1500,Rs.,0,1,1,0,3,4.5,3F7E00,Excellent,1142
28,18528478,La Gustosa,1,Pune,"Survey 1/3 4, Behind Karve Putla, Shivaji Putla Road, Beside DNS Bank, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81468143,18.50209506,Italian,1200,Rs.,0,0,0,0,3,4.5,3F7E00,Excellent,1484
29,6503864,PK Biryani House,1,Pune,"Rajaram Bridge, Tathawade Garden, 100 D.P. Road, Karve Nagar, Pune",Karve Nagar,"Karve Nagar, Pune",73.82855784,18.49239806,"Biryani, North Indian, Seafood",650,Rs.,0,1,0,0,2,3.9,9ACD32,Good,1221
30,18429323,Paradise Kitchen Hyderabadi Biryani,1,Pune,"Shop 1/2/3, Survey 29/2, Potnis Parisar, Karve Nagar, Pune",Karve Nagar,"Karve Nagar, Pune",73.82225331,18.49658751,"Biryani, North Indian",500,Rs.,0,1,0,0,2,3.7,9ACD32,Good,903
31,10109,Shraddha Restaurant,1,Pune,"Shahu Colony, Lane 2, Karve Nagar, Pune",Karve Nagar,"Karve Nagar, Pune",73.81686911,18.48690705,"North Indian, Chinese, South Indian",450,Rs.,0,1,0,0,1,3.4,CDD614,Average,1286
32,18660772,Foodsmith,1,Pune,"Foodsmith, Shop number 18 Fountain head apartment Opposite Karishma Society Kothrud Pune 411038",Kothrud,"Kothrud, Pune",73.82176146,18.50212177,"Chinese, Continental, Mexican",900,Rs.,0,1,0,0,2,4.3,5BA829,Very Good,547
33,18770152,The Tipsy Duckling,1,Pune,"Shop 2-3, Shubhankaroti Apartment, Suvarnabaug Colony, Opposite Business Hub, Karve Road, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.8137906,18.49364448,"Continental, North Indian, Italian, Finger Food",1300,Rs.,0,1,0,0,3,4.3,5BA829,Very Good,204
34,10705,Yolkshire,1,Pune,"20, Karishma Society, Off Karve Road, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.82156432,18.50285019,"Fast Food, Italian, Salad",650,Rs.,0,1,1,0,2,4.3,5BA829,Very Good,1400
35,11321,Pruthvi Vegetarianism,1,Pune,"Nyati Elegance, Happy Colony, Lane 4, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.81345935,18.4945459,"North Indian, Chinese, Fast Food, Juices",500,Rs.,0,0,0,0,2,4,5BA829,Very Good,779
36,18552811,Punjab Canteen,1,Pune,"E1, Kumar Parisar, Near Gandhi Bhavan, Near Mahatma Society, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.80222291,18.49631534,North Indian,700,Rs.,0,1,0,0,2,4.1,5BA829,Very Good,748
37,6507653,Swarnaa Vegetarian,1,Pune,"Ground Floor, Choudhari Heights, Near Dhodke Tower, Pune-Bangalore Highway, Warje, Pune",Warje,"Warje, Pune",73.8025545,18.48160506,"North Indian, South Indian, Chinese, Fast Food, Beverages",550,Rs.,0,1,0,0,2,3.8,9ACD32,Good,786
38,6504832,Mystic Flavours,1,Pune,"Shop 2/3, Spandan, Opposite Mai Mangeshkar Hospital, Popular Nagar, Warje, Pune",Warje,"Warje, Pune",73.798328,18.48475371,"North Indian, Mughlai, Chinese, Continental, Italian",1200,Rs.,0,1,0,0,3,3.9,9ACD32,Good,531
39,12858,Domino's Pizza,1,Pune,"2, Varad Laxmi Plaza, Opposite Cipla Foundation, New Pune Bangalore Highway, Warje, Pune",Warje,"Warje, Pune",73.79533097,18.48718496,"Pizza, Fast Food",700,Rs.,0,0,0,0,2,3.8,9ACD32,Good,424
40,6507225,Lavang Veg,1,Pune,"Shop 2, R Cube Building, Atul Nagar, Warje, Pune",Warje,"Warje, Pune",73.79638206,18.48630385,"North Indian, Chinese, Fast Food, South Indian, Street Food, Beverages, Desserts",700,Rs.,0,1,0,0,2,3.6,9ACD32,Good,309
41,11670,MetroMix,1,Pune,"Near Mahesh vidyalay, Kumar Parisar, 25/26. &#39E, &#39; Building, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.8023631,18.4974002,"European, Chinese, Thai",1100,Rs.,0,1,0,0,3,3.7,9ACD32,Good,215
42,6504436,Kaveri Sea Food,1,Pune,"Survey 134/1, Shri Krishna Kunj, Mumbai Banglore Highway, Warje, Pune",Warje,"Warje, Pune",73.80073931,18.48430854,"Seafood, North Indian, Chinese, Mughlai",1000,Rs.,0,1,0,0,3,3.3,CDD614,Average,186
43,18647056,Chaska Chavicha Adda,1,Pune,"Shop A16, Kumar Parisar DP Road, Near. Mahatma Society, Kothrud, Pune",Kothrud,"Kothrud, Pune",73.802236,18.496778,"Fast Food, Maharashtrian",200,Rs.,0,1,1,0,1,4.1,5BA829,Very Good,54
44,6506020,Gavkari,1,Pune,"Vihan Residency, Near Atul Nagar, Pune - Mumbai Highway, Warje, Pune",Warje,"Warje, Pune",73.79728362,18.4857105,Maharashtrian,800,Rs.,0,1,0,0,2,3.8,9ACD32,Good,106
45,18536004,Culture - पुणे,1,Pune,"1195/2C, Next to Tukaram Paduka Mandir, Sud Nagar, FC Road, Pune",FC Road,"FC Road, Pune",73.84150419,18.52491732,"Continental, North Indian, Italian, Mediterranean, European",1300,Rs.,0,1,0,0,3,4.1,5BA829,Very Good,2597
46,13231,Le Plaisir,1,Pune,"Survey 759/125, Rajkamal, Opposite Kelkar Eye Hospital, Prabhat Road, Deccan Gymkhana, Pune",Deccan Gymkhana,"Deccan Gymkhana, Pune",73.83845586,18.51420776,"European, Italian, Fast Food, Salad, Continental, Beverages, Desserts",1000,Rs.,0,1,1,0,3,4.8,3F7E00,Excellent,4167
47,6507967,Tales & Spirits,1,Pune,"Plot 64, Shivaji Housing Society, Senapati Bapat Road, Pune",Senapati Bapat Road,"Senapati Bapat Road, Pune",73.82881332,18.53080767,"Italian, Continental, Salad",1200,Rs.,0,1,0,0,3,4.3,5BA829,Very Good,3475
48,10011,Cafe Goodluck,1,Pune,"759/75, Goodluck Chowk, Deccan Gymkhana, Pune",Deccan Gymkhana,"Deccan Gymkhana, Pune",73.8416668,18.51768517,"North Indian, Fast Food",600,Rs.,0,1,0,0,2,4.3,5BA829,Very Good,6552
49,18575827,Hakuna Matata,1,Pune,"The Deccan Royaale Hotel, Near Sambhaji Park, JM Road, Pune",JM Road,"JM Road, Pune",73.84552483,18.51918224,"Continental, Italian, Desserts",1300,Rs.,0,1,0,0,3,4,5BA829,Very Good,1301
50,18618030,BarBerry,1,Pune,"1st Floor, Nandadeep Apartment, Above AU Small Finance Bank, FC Road, Pune",FC Road,"FC Road, Pune",73.84169731,18.5254247,"North Indian, Italian, Finger Food",1200,Rs.,0,0,0,0,3,4.2,5BA829,Very Good,1443
